1	261
2	76
3	344
4	478
5	459
6	488
7	873
8	858
9	900
10	875
11	908
12	1294
13	1222
14	1447
15	1189
16	1538
17	1716
18	1861
19	1911
20	2256
21	2046
22	2476
23	2447
24	2608
25	2875
26	2949
27	3130
28	3285
29	3311
30	3690
31	3610
32	4060
33	4224
34	4627
35	4632
36	4821
37	4885
38	5499
39	5728
40	5853
41	6079
42	6453
43	6293
44	7028
45	6961
46	6886
47	7360
48	7978
49	8113
50	8339
51	8613
52	9089
53	9280
54	9761
55	9856
56	10298
57	10289
58	10724
59	10884
60	11431
61	11617
62	12251
63	12116
64	13098
65	13066
66	13390
67	13585
68	14091
69	14135
70	14338
71	14494
72	14939
73	15854
74	16485
75	17095
76	17174
77	17850
78	17714
79	18066
80	19382
81	19486
82	20304
83	20571
84	21085
85	21489
86	21600
87	22758
88	22281
89	22146
90	23200
91	24098
92	24572
93	24777
94	24702
95	25474
96	26258
97	26674
98	27756
99	27926
100	28345
101	29285
102	28740
103	29414
104	30030
105	30820
106	31963
107	33269
108	33945
109	33928
110	33431
111	34249
112	49143
113	36444
114	36993
115	37801
116	37273
117	37768
118	38936
119	39649
120	39819
121	41190
122	41604
123	40568
124	40979
125	42544
126	44342
127	42815
128	47042
129	46752
130	46087
131	46980
132	46500
133	46997
134	48588
135	49435
136	50502
137	49987
138	49592
139	50401
140	51969
141	52553
142	54255
143	55128
144	53044
145	56118
146	55708
147	56930
148	53309
149	53386
150	53793
151	54757
152	55297
153	56092
154	56990
155	68520
156	58835
157	59422
158	59737
159	60217
160	60767
161	62021
162	62357
163	63079
164	64182
165	67333
166	66056
167	66396
168	67600
169	67991
170	68255
171	69404
172	69115
173	70731
174	71080
175	77929
176	74420
177	74927
178	81440
179	83228
180	85531
181	82785
182	86966
183	83711
184	87488
185	87417
186	91192
187	89681
188	91350
189	93945
190	93568
191	96889
192	101807
193	97104
194	95340
195	96181
196	99610
197	96061
198	342625
199	101008
200	99892
201	96466
202	102334
203	101836
204	102675
205	108326
206	110754
207	100849
208	112028
209	106710
210	108248
211	108766
212	109970
213	110941
214	122021
215	113279
216	120196
217	116393
218	115913
219	122273
220	128816
221	120015
222	128154
223	117084
224	115600
225	116785
226	117213
227	139431
228	128445
229	128152
230	128385
231	129443
232	130984
233	131686
234	133066
235	126736
236	127574
237	129125
238	129844
239	131364
240	132586
241	133823
242	134180
243	134893
244	135964
245	136524
246	138284
247	139511
248	145396
249	146197
250	149749
251	143021
252	143851
253	171636
254	146493
255	149271
256	153472
257	157812
258	162368
259	163749
260	168026
261	168832
262	169546
263	172866
264	176355
265	177879
266	170634
267	176075
268	172141
269	186638
270	173272
271	190526
272	180046
273	205058
274	180451
275	177465
276	177036
277	179507
278	180267
279	178553
280	218101
281	194396
282	186486
283	187404
284	188433
285	189164
286	190082
287	191952
288	191379
289	202830
290	193903
291	195764
292	211746
293	199128
294	198508
295	201034
296	201553
297	203253
298	204150
299	206572
300	206882
301	207145
302	210304
303	211279
304	211826
